ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1769474700,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474701,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474702,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474703,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,4,0,4,4,0,4
1769474704,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,4,0,4
1769474705,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,4,0,4
1769474706,18,81,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,4,0,4
1769474707,18,81,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,4,0,4
1769474708,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,4,0,4
1769474709,18,81,0,476,0,476,low_activity,0,476,0,476,low_activity,0,476,0,476,low_activity,476,0,476,480,0,480
1769474710,18,81,0,476,0,476,low_activity,0,476,0,476,low_activity,0,476,0,476,low_activity,0,0,0,480,0,480
1769474711,18,81,0,575,0,575,low_activity,0,575,0,575,low_activity,0,575,0,575,low_activity,99,0,99,579,0,579
1769474712,18,81,0,99,0,99,low_activity,0,575,0,575,low_activity,0,575,0,575,low_activity,0,0,0,579,0,579
1769474713,18,81,0,99,0,99,low_activity,0,575,0,575,low_activity,0,575,0,575,low_activity,0,0,0,579,0,579
1769474714,18,81,0,0,0,0,no_volume,0,99,0,99,low_activity,0,575,0,575,low_activity,0,0,0,579,0,579
1769474715,18,81,0,24,0,24,low_activity,0,123,0,123,low_activity,0,599,0,599,low_activity,24,0,24,603,0,603
1769474716,18,81,0,24,0,24,low_activity,0,24,0,24,low_activity,0,599,0,599,low_activity,0,0,0,603,0,603
1769474717,18,81,0,24,0,24,low_activity,0,24,0,24,low_activity,0,599,0,599,low_activity,0,0,0,603,0,603
1769474718,18,81,0,0,0,0,no_volume,0,24,0,24,low_activity,0,599,0,599,low_activity,0,0,0,603,0,603
1769474719,18,81,0,84,0,84,low_activity,0,108,0,108,low_activity,0,683,0,683,low_activity,84,0,84,687,0,687
1769474720,18,81,0,106,0,106,low_activity,0,106,0,106,low_activity,1.0,705,0,705,ok_volume,22,0,22,709,0,709
1769474721,18,81,0,106,0,106,low_activity,0,106,0,106,low_activity,1.0,705,0,705,ok_volume,0,0,0,709,0,709
1769474722,18,81,0,22,0,22,low_activity,0,106,0,106,low_activity,1.0,705,0,705,ok_volume,4,0,4,713,0,713
1769474723,18,81,0,44,0,44,low_activity,0,150,0,150,low_activity,1.0,749,0,749,ok_volume,44,0,44,757,0,757
1769474724,18,81,0,44,0,44,low_activity,0,66,0,66,low_activity,1.0,749,0,749,ok_volume,0,0,0,757,0,757
1769474725,18,81,0,44,0,44,low_activity,0,44,0,44,low_activity,1.0,749,0,749,ok_volume,0,0,0,757,0,757
1769474726,18,81,0,800,0,800,low_activity,0,844,0,844,low_activity,1.0,1549,0,1549,ok_volume,0,0,0,1557,0,1557
1769474727,18,81,0,800,0,800,low_activity,0,844,0,844,low_activity,1.0,1549,0,1549,ok_volume,0,0,0,1557,0,1557
1769474728,18,81,0,0,0,0,no_volume,0,800,0,800,low_activity,1.0,1549,0,1549,ok_volume,0,0,0,1557,0,1557
1769474729,18,81,0,0,0,0,no_volume,0,800,0,800,low_activity,1.0,1549,0,1549,ok_volume,0,0,0,1557,0,1557
1769474730,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,1549,0,1549,ok_volume,0,0,0,1557,0,1557
1769474731,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,1549,0,1549,ok_volume,0,0,0,1557,0,1557
1769474732,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,1549,0,1549,ok_volume,0,0,0,1557,0,1557
1769474733,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,1549,0,1549,ok_volume,0,0,0,1557,0,1557
1769474734,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,1.0,1549,0,1549,ok_volume,0,0,0,1561,0,1561
1769474735,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,1.0,1549,0,1549,ok_volume,0,0,0,1561,0,1561
1769474736,18,81,0,0,0,0,no_volume,0,0,0,0,low_activity,1.0,1549,0,1549,ok_volume,0,0,0,1561,0,1561
1769474737,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,1.0,1549,0,1549,ok_volume,9,0,9,1570,0,1570
1769474738,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,1.0,1549,0,1549,ok_volume,0,0,0,1570,0,1570
1769474739,18,81,0,90,0,90,low_activity,0,90,0,90,low_activity,1.0,1163,0,1163,ok_volume,90,0,90,1660,0,1660
1769474740,18,81,0,90,0,90,low_activity,0,90,0,90,low_activity,1.0,1163,0,1163,ok_volume,0,0,0,1660,0,1660
1769474741,18,81,0,90,0,90,low_activity,0,90,0,90,low_activity,1.0,1064,0,1064,ok_volume,0,0,0,1660,0,1660
1769474742,18,81,0,0,0,0,no_volume,0,90,0,90,low_activity,1.0,1064,0,1064,ok_volume,0,0,0,1660,0,1660
1769474743,18,81,0,0,0,0,no_volume,0,90,0,90,low_activity,1.0,1064,0,1064,ok_volume,0,0,0,1660,0,1660
1769474744,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,1.0,1064,0,1064,ok_volume,9,0,9,1669,0,1669
1769474745,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,1.0,1040,0,1040,ok_volume,0,0,0,1669,0,1669
1769474746,18,81,0,124,0,124,low_activity,0,124,0,124,low_activity,1.0,1164,0,1164,ok_volume,124,0,124,1793,0,1793
1769474747,18,81,0,124,0,124,low_activity,0,124,0,124,low_activity,1.0,1164,0,1164,ok_volume,0,0,0,1793,0,1793
1769474748,18,81,0,124,0,124,low_activity,0,124,0,124,low_activity,1.0,1164,0,1164,ok_volume,0,0,0,1793,0,1793
1769474749,18,81,0,0,0,0,no_volume,0,124,0,124,low_activity,1.0,1080,0,1080,ok_volume,0,0,0,1793,0,1793
1769474750,18,81,0,0,0,0,no_volume,0,124,0,124,low_activity,0,1058,0,1058,low_activity,0,0,0,1793,0,1793
1769474751,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1058,0,1058,low_activity,0,0,0,1793,0,1793
1769474752,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1058,0,1058,low_activity,0,0,0,1793,0,1793
1769474753,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1014,0,1014,low_activity,0,0,0,1793,0,1793
1769474754,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1014,0,1014,low_activity,0,0,0,1793,0,1793
1769474755,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,214,0,214,low_activity,0,0,0,1793,0,1793
1769474756,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,214,0,214,low_activity,0,0,0,1793,0,1793
1769474757,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,214,0,214,low_activity,0,0,0,1793,0,1793
1769474758,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,214,0,214,low_activity,0,0,0,1793,0,1793
1769474759,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,214,0,214,low_activity,0,0,0,1793,0,1793
1769474760,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,214,0,214,low_activity,0,0,0,1793,0,1793
1769474761,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,214,0,214,low_activity,0,0,0,1793,0,1793
1769474762,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,214,0,214,low_activity,0,0,0,1793,0,1793
1769474763,18,81,0,22,0,22,low_activity,0,22,0,22,low_activity,0,236,0,236,low_activity,22,0,22,1811,0,1811
1769474764,18,81,0,22,0,22,low_activity,0,22,0,22,low_activity,0,236,0,236,low_activity,0,0,0,1811,0,1811
1769474765,18,81,0,22,0,22,low_activity,0,22,0,22,low_activity,0,236,0,236,low_activity,0,0,0,1811,0,1811
1769474766,18,81,0,0,0,0,no_volume,0,22,0,22,low_activity,0,236,0,236,low_activity,0,0,0,1811,0,1811
1769474767,18,81,0,0,0,0,no_volume,0,22,0,22,low_activity,0,236,0,236,low_activity,0,0,0,1811,0,1811
1769474768,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,236,0,236,low_activity,0,0,0,1811,0,1811
1769474769,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,146,0,146,low_activity,0,0,0,1335,0,1335
1769474770,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,146,0,146,low_activity,0,0,0,1335,0,1335
1769474771,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,146,0,146,low_activity,0,0,0,1236,0,1236
1769474772,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,146,0,146,low_activity,0,0,0,1236,0,1236
1769474773,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,146,0,146,low_activity,0,0,0,1236,0,1236
1769474774,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,146,0,146,low_activity,0,0,0,1236,0,1236
1769474775,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,146,0,146,low_activity,0,0,0,1212,0,1212
1769474776,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,22,0,22,low_activity,0,0,0,1212,0,1212
1769474777,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,22,0,22,low_activity,0,0,0,1212,0,1212
1769474778,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,22,0,22,low_activity,0,0,0,1212,0,1212
1769474779,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,22,0,22,low_activity,0,0,0,1128,0,1128
1769474780,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,22,0,22,low_activity,0,0,0,1106,0,1106
1769474781,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,22,0,22,low_activity,0,0,0,1106,0,1106
1769474782,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,22,0,22,low_activity,0,0,0,1102,0,1102
1769474783,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,22,0,22,low_activity,0,0,0,1058,0,1058
1769474784,18,81,0,5000,0,5000,low_activity,0,5000,0,5000,low_activity,0,5022,0,5022,low_activity,5000,0,5000,6058,0,6058
1769474785,18,81,0,5000,0,5000,low_activity,0,5000,0,5000,low_activity,0,5022,0,5022,low_activity,0,0,0,5258,0,5258
1769474786,18,81,0,5000,0,5000,low_activity,0,5000,0,5000,low_activity,0,5022,0,5022,low_activity,0,0,0,5258,0,5258
1769474787,18,81,0,0,0,0,no_volume,0,5000,0,5000,low_activity,0,5022,0,5022,low_activity,0,0,0,5258,0,5258
1769474788,18,81,0,0,0,0,no_volume,0,5000,0,5000,low_activity,0,5022,0,5022,low_activity,0,0,0,5258,0,5258
1769474789,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,5022,0,5022,low_activity,0,0,0,5258,0,5258
1769474790,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,5022,0,5022,low_activity,0,0,0,5258,0,5258
1769474791,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,5022,0,5022,low_activity,0,0,0,5258,0,5258
1769474792,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,5022,0,5022,low_activity,0,0,0,5258,0,5258
1769474793,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,5000,0,5000,low_activity,0,0,0,5254,0,5254
1769474794,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,5000,0,5000,low_activity,0,0,0,5254,0,5254
1769474795,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,5000,0,5000,low_activity,0,0,0,5254,0,5254
1769474796,18,81,0,44,0,44,low_activity,0,44,0,44,low_activity,0,5044,0,5044,low_activity,44,0,44,5298,0,5298
1769474797,18,81,0,44,0,44,low_activity,0,44,0,44,low_activity,0,5044,0,5044,low_activity,0,0,0,5289,0,5289
1769474798,18,81,0,44,0,44,low_activity,0,44,0,44,low_activity,0,5044,0,5044,low_activity,0,0,0,5289,0,5289
1769474799,18,81,0,0,0,0,no_volume,0,44,0,44,low_activity,0,5044,0,5044,low_activity,0,0,0,5199,0,5199
1769474800,18,81,0,0,0,0,no_volume,0,44,0,44,low_activity,0,5044,0,5044,low_activity,0,0,0,5199,0,5199
1769474801,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,5044,0,5044,low_activity,0,0,0,5199,0,5199
1769474802,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,5044,0,5044,low_activity,0,0,0,5199,0,5199
1769474803,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,5044,0,5044,low_activity,0,0,0,5199,0,5199
1769474804,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,5044,0,5044,low_activity,0,0,0,5190,0,5190
1769474805,18,81,0,249,0,249,low_activity,0,249,0,249,low_activity,0,5293,0,5293,low_activity,251,0,251,5441,0,5441
1769474806,18,81,0,249,0,249,low_activity,0,249,0,249,low_activity,0,5293,0,5293,low_activity,0,0,0,5317,0,5317
1769474807,18,81,0,249,0,249,low_activity,0,249,0,249,low_activity,0,5293,0,5293,low_activity,0,0,0,5317,0,5317
1769474808,18,81,0,0,0,0,no_volume,0,249,0,249,low_activity,0,5293,0,5293,low_activity,0,0,0,5317,0,5317
1769474809,18,81,0,0,0,0,no_volume,0,249,0,249,low_activity,0,5293,0,5293,low_activity,0,0,0,5317,0,5317
1769474810,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,5293,0,5293,low_activity,0,0,0,5317,0,5317
1769474811,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,5293,0,5293,low_activity,0,0,0,5317,0,5317
1769474812,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,5293,0,5293,low_activity,0,0,0,5317,0,5317
1769474813,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,5293,0,5293,low_activity,0,0,0,5317,0,5317
1769474814,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,293,0,293,low_activity,0,0,0,5317,0,5317
1769474815,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,293,0,293,low_activity,0,0,0,5317,0,5317
1769474816,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,293,0,293,low_activity,4,0,4,5321,0,5321
1769474817,18,81,0,119,0,119,low_activity,0,119,0,119,low_activity,0,412,0,412,low_activity,119,0,119,5440,0,5440
1769474818,18,81,0,119,0,119,low_activity,0,119,0,119,low_activity,0,412,0,412,low_activity,0,0,0,5440,0,5440
1769474819,18,81,0,119,0,119,low_activity,0,119,0,119,low_activity,0,412,0,412,low_activity,0,0,0,5440,0,5440
1769474820,18,81,0,0,0,0,no_volume,0,119,0,119,low_activity,0,412,0,412,low_activity,0,0,0,5440,0,5440
1769474821,18,81,0,0,0,0,no_volume,0,119,0,119,low_activity,0,412,0,412,low_activity,0,0,0,5440,0,5440
1769474822,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,412,0,412,low_activity,0,0,0,5440,0,5440
1769474823,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,412,0,412,low_activity,0,0,0,5418,0,5418
1769474824,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,293,0,293,low_activity,4,0,4,5303,0,5303
1769474825,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,293,0,293,low_activity,0,0,0,5303,0,5303
1769474826,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,249,0,249,low_activity,0,0,0,5303,0,5303
1769474827,18,81,0,0,0,0,no_volume,0,0,0,0,low_activity,0,249,0,249,low_activity,0,0,0,5303,0,5303
1769474828,18,81,0,0,0,0,no_volume,0,0,0,0,low_activity,0,249,0,249,low_activity,0,0,0,5303,0,5303
1769474829,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,249,0,249,low_activity,0,0,0,5303,0,5303
1769474830,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,249,0,249,low_activity,0,0,0,5303,0,5303
1769474831,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,249,0,249,low_activity,0,0,0,5303,0,5303
1769474832,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,249,0,249,low_activity,0,0,0,5303,0,5303
1769474833,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,249,0,249,low_activity,0,0,0,5303,0,5303
1769474834,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,249,0,249,low_activity,8,0,8,5309,0,5309
1769474835,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,5309,0,5309
1769474836,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,5309,0,5309
1769474837,18,81,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,5309,0,5309
1769474838,18,81,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,5309,0,5309
1769474839,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,5309,0,5309
1769474840,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,5309,0,5309
1769474841,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,5309,0,5309
1769474842,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,5309,0,5309
1769474843,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,5309,0,5309
1769474844,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,309,0,309
1769474845,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,309,0,309
1769474846,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,309,0,309
1769474847,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,309,0,309
1769474848,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,309,0,309
1769474849,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,309,0,309
1769474850,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,9,0,9,318,0,318
1769474851,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,318,0,318
1769474852,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,318,0,318
1769474853,18,81,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,318,0,318
1769474854,18,81,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,318,0,318
1769474855,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,318,0,318
1769474856,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,274,0,274
1769474857,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,274,0,274
1769474858,18,81,0,27,0,27,low_activity,0,27,0,27,low_activity,0,27,0,27,low_activity,27,0,27,301,0,301
1769474859,18,81,0,27,0,27,low_activity,0,27,0,27,low_activity,0,27,0,27,low_activity,0,0,0,301,0,301
1769474860,18,81,0,27,0,27,low_activity,0,27,0,27,low_activity,0,27,0,27,low_activity,0,0,0,301,0,301
1769474861,18,81,0,0,0,0,no_volume,0,27,0,27,low_activity,0,27,0,27,low_activity,0,0,0,301,0,301
1769474862,18,81,0,0,0,0,no_volume,0,27,0,27,low_activity,0,27,0,27,low_activity,0,0,0,301,0,301
1769474863,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,27,0,27,low_activity,0,0,0,301,0,301
1769474864,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,4,0,4,278,0,278
1769474865,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,29,0,29
1769474866,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,29,0,29
1769474867,18,81,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,29,0,29
1769474868,18,81,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,29,0,29
1769474869,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,29,0,29
1769474870,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,29,0,29
1769474871,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,29,0,29
1769474872,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,29,0,29
1769474873,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,29,0,29
1769474874,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,29,0,29
1769474875,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,29,0,29
1769474876,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,25,0,25
1769474877,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,25,0,25
1769474878,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,25,0,25
1769474879,18,81,0,47,0,47,low_activity,0,47,0,47,low_activity,0,47,0,47,low_activity,47,0,47,72,0,72
1769474880,18,81,0,47,0,47,low_activity,0,47,0,47,low_activity,0,47,0,47,low_activity,0,0,0,72,0,72
1769474881,18,81,0,1172,0,1172,low_activity,0,1172,0,1172,low_activity,0,1172,0,1172,low_activity,1125,0,1125,1193,0,1193
1769474882,18,81,0,22,0,22,low_activity,0,69,0,69,low_activity,0,69,0,69,low_activity,22,0,22,90,0,90
1769474883,18,81,0,22,0,22,low_activity,0,69,0,69,low_activity,0,69,0,69,low_activity,0,0,0,90,0,90
1769474884,18,81,0,22,0,22,low_activity,0,22,0,22,low_activity,0,69,0,69,low_activity,0,0,0,86,0,86
1769474885,18,81,0,0,0,0,no_volume,0,22,0,22,low_activity,0,69,0,69,low_activity,0,0,0,86,0,86
1769474886,18,81,0,0,0,0,no_volume,0,22,0,22,low_activity,0,69,0,69,low_activity,0,0,0,86,0,86
1769474887,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,69,0,69,low_activity,0,0,0,86,0,86
1769474888,18,81,0,249,0,249,low_activity,0,249,0,249,low_activity,0,271,0,271,low_activity,249,0,249,288,0,288
1769474889,18,81,0,249,0,249,low_activity,0,249,0,249,low_activity,0,271,0,271,low_activity,0,0,0,288,0,288
1769474890,18,81,0,249,0,249,low_activity,0,249,0,249,low_activity,0,271,0,271,low_activity,0,0,0,288,0,288
1769474891,18,81,0,0,0,0,no_volume,0,249,0,249,low_activity,0,271,0,271,low_activity,0,0,0,288,0,288
1769474892,18,81,0,0,0,0,no_volume,0,249,0,249,low_activity,0,271,0,271,low_activity,0,0,0,288,0,288
1769474893,18,81,0,23,0,23,low_activity,0,23,0,23,low_activity,0,45,0,45,low_activity,23,0,23,62,0,62
1769474894,18,81,0,23,0,23,low_activity,0,23,0,23,low_activity,0,45,0,45,low_activity,0,0,0,54,0,54
1769474895,18,81,0,23,0,23,low_activity,0,23,0,23,low_activity,0,45,0,45,low_activity,0,0,0,54,0,54
1769474896,18,81,0,0,0,0,no_volume,0,23,0,23,low_activity,0,45,0,45,low_activity,0,0,0,54,0,54
1769474897,18,81,0,0,0,0,no_volume,0,23,0,23,low_activity,0,45,0,45,low_activity,0,0,0,54,0,54
1769474898,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,45,0,45,low_activity,0,0,0,54,0,54
1769474899,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,45,0,45,low_activity,0,0,0,54,0,54
1769474900,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,45,0,45,low_activity,0,0,0,54,0,54
1769474901,18,81,0,20,0,20,low_activity,0,20,0,20,low_activity,0,42,0,42,low_activity,20,0,20,51,0,51
1769474902,18,81,0,20,0,20,low_activity,0,20,0,20,low_activity,0,42,0,42,low_activity,0,0,0,51,0,51
1769474903,18,81,0,20,0,20,low_activity,0,20,0,20,low_activity,0,42,0,42,low_activity,0,0,0,51,0,51
1769474904,18,81,0,0,0,0,no_volume,0,20,0,20,low_activity,0,42,0,42,low_activity,0,0,0,51,0,51
1769474905,18,81,0,0,0,0,no_volume,0,20,0,20,low_activity,0,42,0,42,low_activity,0,0,0,51,0,51
1769474906,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,42,0,42,low_activity,0,0,0,51,0,51
1769474907,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,42,0,42,low_activity,9,0,9,60,0,60
1769474908,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,42,0,42,low_activity,0,0,0,60,0,60
1769474909,18,81,0,0,0,0,low_activity,0,0,0,0,low_activity,0,42,0,42,low_activity,0,0,0,60,0,60
1769474910,18,81,0,0,0,0,no_volume,0,0,0,0,low_activity,0,42,0,42,low_activity,0,0,0,51,0,51
1769474911,18,81,0,0,0,0,no_volume,0,0,0,0,low_activity,0,42,0,42,low_activity,0,0,0,51,0,51
1769474912,18,81,0,0,0,0,no_volume,0,0,0,0,no_volume,0,20,0,20,low_activity,0,0,0,51,0,51
1769474913,18,81,0,100,0,100,low_activity,0,100,0,100,low_activity,0,100,0,100,low_activity,100,0,100,131,0,131
1769474914,18,81,0,14,0,14,low_activity,0,14,0,14,low_activity,0,14,0,14,low_activity,14,0,14,45,0,45
1769474915,18,81,0,14,0,14,low_activity,0,14,0,14,low_activity,0,14,0,14,low_activity,0,0,0,45,0,45
1769474916,18,81,0,14,0,14,low_activity,0,14,0,14,low_activity,0,14,0,14,low_activity,0,0,0,45,0,45
1769474917,18,81,0,50,0,50,low_activity,0,64,0,64,low_activity,0,64,0,64,low_activity,50,0,50,95,0,95
1769474918,18,81,0,50,0,50,low_activity,0,64,0,64,low_activity,0,64,0,64,low_activity,0,0,0,95,0,95
1769474919,18,81,0,50,0,50,low_activity,0,50,0,50,low_activity,0,64,0,64,low_activity,0,0,0,95,0,95
1769474920,18,81,0,0,0,0,no_volume,0,50,0,50,low_activity,0,64,0,64,low_activity,0,0,0,95,0,95
1769474921,18,81,0,0,0,0,no_volume,0,50,0,50,low_activity,0,64,0,64,low_activity,0,0,0,95,0,95
