ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1775223016,27,25,27,3139,28,9743,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,18746,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,36836,40299
1775223017,27,25,27,3139,28,9743,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,18746,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,36836,40299
1775223018,27,25,27,3139,28,9743,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,18746,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,36836,40299
1775223019,27,25,27,3139,28,9743,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,18746,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,36836,40299
1775223020,27,25,27,3139,28,9743,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,18746,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,36836,40299
1775223021,27,25,27,3139,28,9743,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,18746,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,36836,40299
1775223022,27,25,27,3139,28,9743,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,18746,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,36836,40299
1775223023,27,25,27,3139,28,9743,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,18746,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,36836,40299
1775223024,27,25,27,3139,28,9743,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,18746,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,36836,40299
1775223025,27,25,27,3139,28,19058,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,26439,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,46151,47992
1775223026,27,25,27,3139,28,19058,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,26439,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,46151,47992
1775223027,27,25,27,3139,28,19058,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,26439,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,46151,47992
1775223028,27,25,27,3139,28,19058,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,26439,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,46151,47992
1775223029,27,25,27,3139,28,19058,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,26439,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,46151,47992
1775223030,27,25,27,3139,28,19058,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,26439,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,46151,47992
1775223031,27,25,27,3139,28,19058,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,26439,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,46151,47992
1775223032,27,25,27,3139,28,19058,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,26439,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,46151,47992
1775223033,27,25,27,3139,28,19058,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,26439,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,46151,47992
1775223034,27,25,27,3139,28,19058,29,7704,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,37,0,25,3198,24,18055,23,26439,22,300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,46151,47992
1775223035,26,25,26,2000,27,1139,28,21050,29,5000,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,25,1198,24,20055,23,24439,22,2300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,45439,47992
1775223036,26,25,26,2000,27,1139,28,21050,29,5000,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,25,1198,24,20055,23,24439,22,2300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,45439,47992
1775223037,26,25,26,2000,27,1139,28,21050,29,5000,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,25,1198,24,20055,23,24439,22,2300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,45439,47992
1775223038,26,25,26,2000,27,1139,28,21050,29,5000,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,25,1198,24,20055,23,24439,22,2300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,45439,47992
1775223039,26,25,26,2000,27,1139,28,21050,29,5000,30,5030,31,10420,32,800,33,0,34,0,35,0,36,0,25,1198,24,20055,23,24439,22,2300,21,0,20,0,19,0,18,0,17,0,16,0,15,0,45439,47992
